x, y, light_intensity, timestamp 
0, 0, 516, 1.52406e+09
0.112, 0, 528, 1.52406e+09
0.24, 0, 536, 1.52406e+09
0.367, 0.001, 544, 1.52406e+09
0.521, 0.001, 551, 1.52406e+09
0.638, 0.002, 556, 1.52406e+09
0.767, 0.002, 566, 1.52406e+09
0.909, 0.003, 574, 1.52406e+09
1.059, 0.003, 586, 1.52406e+09
1.208, 0.004, 596, 1.52406e+09
1.358, 0.005, 601, 1.52406e+09
1.508, 0.005, 610, 1.52406e+09
1.657, 0.006, 617, 1.52406e+09
1.796, 0.006, 623, 1.52406e+09
1.922, 0.007, 628, 1.52406e+09
2.036, 0.006, 632, 1.52406e+09
2.139, 0.006, 633, 1.52406e+09
2.271, 0.005, 642, 1.52406e+09
2.376, 0.005, 651, 1.52406e+09
2.491, 0.004, 649, 1.52406e+09
2.588, -0.028, 651, 1.52406e+09
2.667, -0.114, 663, 1.52406e+09
2.724, -0.218, 671, 1.52406e+09
2.772, -0.355, 680, 1.52406e+09
2.798, -0.464, 683, 1.52406e+09
2.818, -0.586, 681, 1.52406e+09
2.832, -0.721, 673, 1.52406e+09
2.839, -0.868, 665, 1.52406e+09
2.838, -1.018, 665, 1.52406e+09
2.829, -1.165, 657, 1.52406e+09
2.815, -1.303, 674, 1.52406e+09
2.797, -1.429, 685, 1.52406e+09
2.775, -1.541, 695, 1.52406e+09
2.751, -1.641, 703, 1.52406e+09
2.712, -1.767, 710, 1.52406e+09
2.673, -1.864, 707, 1.52406e+09
2.617, -1.964, 701, 1.52406e+09
2.541, -2.039, 698, 1.52406e+09
2.427, -2.099, 700, 1.52406e+09
2.307, -2.14, 702, 1.52406e+09
2.156, -2.175, 707, 1.52406e+09
2.04, -2.195, 706, 1.52406e+09
1.911, -2.21, 707, 1.52406e+09
1.77, -2.222, 705, 1.52406e+09
1.62, -2.229, 704, 1.52406e+09
1.471, -2.232, 704, 1.52406e+09
1.321, -2.231, 706, 1.52406e+09
1.171, -2.225, 708, 1.52406e+09
1.021, -2.216, 716, 1.52406e+09
0.873, -2.204, 722, 1.52406e+09
0.734, -2.19, 726, 1.52406e+09
0.607, -2.175, 732, 1.52406e+09
0.492, -2.158, 741, 1.52406e+09
0.39, -2.141, 747, 1.52406e+09
0.259, -2.116, 753, 1.52406e+09
0.155, -2.091, 759, 1.52406e+09
0.058, -2.062, 767, 1.52406e+09
0.064, -2.185, 844, 1.52406e+09
0.087, -2.289, 854, 1.52406e+09
0.107, -2.421, 857, 1.52406e+09
0.118, -2.525, 854, 1.52406e+09
0.127, -2.64, 844, 1.52406e+09
0.132, -2.768, 838, 1.52406e+09
0.135, -2.907, 836, 1.52406e+09
0.135, -3.057, 818, 1.52406e+09
0.132, -3.201, 785, 1.52406e+09
0.126, -3.334, 742, 1.52406e+09
0.118, -3.455, 710, 1.52406e+09
0.109, -3.563, 691, 1.52406e+09
0.093, -3.703, 675, 1.52406e+09
0.077, -3.816, 665, 1.52406e+09
0.055, -3.925, 648, 1.52406e+09
0.154, -3.941, 727, 1.52406e+09
0.289, -3.908, 734, 1.52406e+09
0.423, -3.887, 735, 1.52406e+09
0.527, -3.876, 733, 1.52406e+09
0.643, -3.867, 733, 1.52406e+09
0.772, -3.861, 729, 1.52406e+09
0.913, -3.857, 728, 1.52406e+09
1.063, -3.856, 723, 1.52406e+09
1.213, -3.857, 720, 1.52406e+09
1.362, -3.861, 716, 1.52406e+09
1.512, -3.867, 712, 1.52406e+09
1.661, -3.874, 710, 1.52406e+09
1.8, -3.883, 710, 1.52406e+09
