x, y, light_intensity, timestamp 
1.927, -3.892, 706, 1.52406e+09
2.042, -3.902, 707, 1.52406e+09
2.145, -3.912, 707, 1.52406e+09
2.277, -3.928, 707, 1.52406e+09
2.381, -3.944, 709, 1.52406e+09
2.496, -3.968, 709, 1.52406e+09
2.479, -3.863, 717, 1.52406e+09
2.446, -3.729, 719, 1.52406e+09
2.423, -3.596, 726, 1.52406e+09
2.409, -3.493, 730, 1.52406e+09
2.397, -3.377, 736, 1.52406e+09
2.386, -3.249, 738, 1.52406e+09
2.378, -3.109, 748, 1.52406e+09
2.371, -2.96, 757, 1.52406e+09
2.366, -2.81, 753, 1.52406e+09
2.362, -2.661, 743, 1.52406e+09
2.361, -2.511, 738, 1.52406e+09
2.361, -2.361, 734, 1.52406e+09
2.362, -2.211, 732, 1.52406e+09
2.364, -2.061, 725, 1.52406e+09
2.367, -1.912, 723, 1.52406e+09
2.371, -1.762, 719, 1.52406e+09
2.376, -1.612, 718, 1.52406e+09
2.382, -1.462, 710, 1.52406e+09
2.388, -1.313, 704, 1.52406e+09
2.395, -1.163, 683, 1.52406e+09
2.402, -1.013, 668, 1.52406e+09
2.41, -0.864, 647, 1.52406e+09
2.418, -0.724, 643, 1.52406e+09
2.426, -0.598, 652, 1.52406e+09
2.435, -0.482, 653, 1.52406e+09
2.443, -0.379, 658, 1.52406e+09
2.454, -0.246, 665, 1.52406e+09
2.465, -0.139, 666, 1.52406e+09
2.48, -0.022, 668, 1.52406e+09
2.375, -0.041, 683, 1.52406e+09
2.243, -0.077, 656, 1.52406e+09
2.111, -0.101, 649, 1.52406e+09
2.008, -0.114, 645, 1.52406e+09
1.892, -0.126, 647, 1.52406e+09
1.765, -0.135, 644, 1.52406e+09
1.625, -0.142, 640, 1.52406e+09
1.475, -0.146, 634, 1.52406e+09
1.326, -0.146, 622, 1.52406e+09
1.176, -0.144, 613, 1.52406e+09
1.026, -0.14, 620, 1.52406e+09
0.877, -0.133, 619, 1.52406e+09
0.737, -0.125, 612, 1.52406e+09
0.61, -0.116, 611, 1.52406e+09
0.495, -0.107, 609, 1.52406e+09
0.392, -0.096, 605, 1.52406e+09
0.259, -0.079, 598, 1.52406e+09
0.154, -0.063, 597, 1.52406e+09
0.055, -0.043, 600, 1.52406e+09
